,rock,country,top100
0, The Beatles,Johnny Cash,Drake
1, Elvis Presley,Hank Williams,Ed Sheeran
2, James Brown,Patsy Cline,Ariana Grande
3, Bob Dylan,Dolly Parton,Post Malone
4, The Rolling Stones,The Carter Family,The Weeknd
5, Stevie Wonder,George Jones,Bad Bunny
6, Chuck Berry,Willie Nelson,Eminem
7, The Who,Loretta Lynn,Justin Bieber
8, Led Zeppelin,Jimmie Rodgers,Taylor Swift
9, Ray Charles,Garth Brooks,J Balvin
10, The Beach Boys,Merle Haggard,BTS
11, Bon Jovi,Waylon Jennings,Kanye West
12, Fats Domino, Bill Monroe,Ozuna
13, Poison, Tammy Wynette,Khalid
14, Madonna, Conway Twitty,XXXTENTACION
15, Jimi Hendrix, Roy Acuff,Billie Eilish
16, Little Richard, Marty Robbins,Coldplay
17, Bruce Springsteen, Flatt & Scruggs,Juice WRLD
18, Marvin Gaye, Buck Owens,Rihanna
19, Sam Cooke, The Stanley Brothers,Travis Scott
20, Prince, Gene Autry,Imagine Dragons
21, U2, Bob Wills,Maroon 5
22, Van Halen, Chet Atkins,Dua Lipa
23, Pink Floyd, Hank Snow,Shawn Mendes
24, Elton John, George Strait,Calvin Harris
25, Run-D.M.C., Lefty Frizzell,Usher
26, Queen, Vince Gill,Daddy Yankee
27, Nirvana, Ernest Tubb,Sam Smith
28, The Temptations, Kenny Rogers,Bruno Mars
29, The Everly Brothers, Reba McEntire,The Chainsmokers
30, David Bowie, Alison Krauss & Union Station,Kendrick Lamar
31, Buddy Holly & The Crickets, Charley Pride,Queen
32, Neil Young, Eddy Arnold,Beyoncé
33, Bob Marley & the Wailers, Roy Clark,Future
34, Public Enemy, Alabama,Chris Brown
35, Sly & The Family Stone, Randy Travis,Sia
36, Bill Haley & His Comets, Kitty Wells,One Direction
37, Smokey Robinson & The Miracles, The Judds,Nicki Minaj
38, The Kinks, Dwight Yoakam,Selena Gomez
39, R.E.M., Trisha Yearwood,Halsey
40, Bo Diddley, Alan Jackson,Lady Gaga
41, Black Sabbath, Tanya Tucker,J. Cole
42, The Doors, Tom T,Twenty One Pilots
43, Journey, Glen Campbell,Anuel AA
44, The Clash, Shania Twain,The Beatles
45, Otis Redding, The Sons of the Pioneers,Kygo
46, The Grateful Dead," ""Tennessee"" Ernie Ford",Maluma
47, The Byrds, Patty Loveless,Avicii
48, Van Halen, Charlie Rich,Linkin Park
49, The Drifters, Slim Whitman,Marshmello
50, Kiss, Brad Paisley,Lil Uzi Vert
51, Iron Maiden, Jim Reeves,Katy Perry
52, Beastie Boys, Faron Young,Camila Cabello
53, Roy Orbison, The Oak Ridge Boys,Adele
54, George Clinton & Parliament/Funkadelic, Martina McBride,Jason Derulo
55, Metallica, Faith Hill,Lana Del Rey
56, Simon & Garfunkel, Porter Wagoner,Demi Lovato
57, The Impressions, June Carter Cash,Farruko
58, Jerry Lee Lewis, Tim McGraw,Red Hot Chili Peppers
59, Eagles, Mel Tillis,Nicky Jam
60, Joni Mitchell, Ricky Skaggs,Shakira
61, Fleetwood Mac," ""Little"" Jimmy Dickens",Arctic Monkeys
62, Creedence Clearwater Revival, The Gatlin Brothers,Martin Garrix
63, Aerosmith, Connie Smith,Major Lazer
64, Pearl Jam, Mary Chapin Carpenter,G-Eazy
65, The Bee Gees, Brooks & Dunn,Panic! At The Disco
66, The Platters, Jean Shepard,Miley Cyrus
67, The Clovers, Toby Keith,Michael Jackson
68, Judas Priest, Gillian Welch,OneRepublic
69, Jackie Wilson, Dixie Chicks,Ellie Goulding
70, Ruth Brown, Hank Williams Jr,Pitbull
71, Donna Summer, Cowboy Copas,Charlie Puth
72, Van Morrison, Ray Price,Wiz Khalifa
73, Cream, Travis Tritt,Cardi B
74, The Isley Brothers, Roger Miller,Lil Wayne
75, The Police, Mickey Gilley,Harry Styles
76, Al Green, Patsy Montana,Logic
77, AC/DC, Ronnie Milsap,Fall Out Boy
78, Deep Purple, Keith Urban,Migos
79, Radiohead, Kenny Chesney,Sebastian Yatra
80, Def Leppard, Dottie West,KAROL G
81, Outkast, The Statler Brothers,21 Savage
82, Rod Stewart, Clint Black,Diplo
83, The Four Seasons, Lee Ann Womack,Young Thug
84, The Shirelles, Bobby Bare,Tyga
85, The Dominoes, The Louvin Brothers,Alan Walker
86, Ozzy Osbourne, The Blue Sky Boys,John Mayer
87, Elvis Costello, Leann Rimes,DaBaby
88," Crosby, Stills, & Nash (& Young)", Del McCoury Band,Macklemore
89, Big Joe Turner, Rosanne Cash,Metallica
90, Johnny Otis, Don Gibson,ZAYN
91, Whitney Houston, The Kendalls,Zedd
92, Guns N' Roses, Montgomery Gentry,Lauv
93, N.W.A, Emmylou Harris,DJ Snake
94, The Allman Brothers Band, Blake Shelton,P!nk
95, Billy Joel, Lynn Anderson,Rauw Alejandro
96, Janis Joplin, Diamond Rio,Lil Baby
97, The Band, Jerry Reed,Sech
98, Sonny Til & the Orioles, David Allan Coe,James Arthur
99, Paul McCartney, Boxcar Willie,Mac Miller
